sid, maths, physics, chem, bio
973, 79, 88, 71, 78
972, 78, 88, 67, 68
971, 21, 70, 46, 69
970, 27, 86, 39, 56
969, 26, 23, 52, 16
968, 47, 26, 79, 92
967, 12, 33, 5, 76
966, 99, 38, 88, 55
965, 90, 38, 69, 51
964, 96, 7, 42, 97
963, 76, 34, 31, 90
962, 89, 4, 82, 71
961, 93, 48, 92, 60
960, 64, 62, 69, 2
959, 4, 22, 44, 49
958, 9, 8, 16, 37
957, 49, 82, 96, 72
956, 61, 62, 76, 0
955, 82, 72, 52, 7
954, 66, 89, 59, 70
953, 38, 79, 26, 90
952, 93, 89, 17, 20
951, 76, 44, 54, 55
950, 23, 26, 12, 44
949, 39, 87, 6, 43
948, 73, 37, 57, 69
947, 3, 40, 13, 30
946, 99, 35, 11, 69
945, 75, 97, 62, 6
944, 78, 97, 83, 10
943, 69, 98, 31, 9
942, 4, 84, 20, 69
941, 43, 50, 77, 37
940, 75, 81, 24, 27
939, 18, 68, 77, 43
938, 31, 2, 73, 4
937, 32, 26, 61, 99
936, 88, 28, 65, 22
935, 64, 85, 25, 10
934, 41, 2, 6, 83
933, 52, 10, 74, 98
932, 25, 6, 51, 80
931, 73, 63, 95, 73
930, 15, 53, 89, 21
929, 34, 3, 8, 87
928, 46, 2, 51, 3
927, 42, 10, 27, 42
926, 46, 79, 76, 56
925, 55, 45, 7, 93
924, 0, 10, 59, 78
923, 6, 67, 74, 22
922, 53, 12, 93, 49
921, 5, 79, 0, 5
920, 48, 36, 23, 9
919, 57, 11, 81, 71
918, 38, 1, 72, 83
917, 26, 93, 34, 28
916, 64, 32, 35, 37
915, 96, 94, 22, 73
914, 48, 74, 59, 87
913, 9, 69, 4, 91
912, 61, 37, 2, 52
911, 92, 56, 39, 98
910, 50, 93, 14, 91
909, 73, 94, 57, 45
908, 25, 70, 58, 62
907, 39, 70, 82, 83
906, 82, 27, 70, 16
905, 39, 20, 66, 99
904, 54, 5, 98, 52
903, 41, 99, 90, 95
902, 72, 4, 84, 69
901, 85, 51, 36, 95
900, 44, 55, 35, 23
899, 33, 11, 0, 66
898, 8, 10, 9, 18
897, 46, 34, 22, 14
896, 2, 55, 63, 2
895, 96, 85, 63, 69
894, 9, 69, 68, 89
893, 79, 78, 15, 61
892, 81, 32, 55, 69
891, 58, 23, 50, 29
890, 16, 22, 36, 94
889, 48, 91, 71, 19
888, 72, 64, 40, 42
887, 79, 27, 17, 22
886, 82, 79, 2, 55
885, 36, 46, 23, 46
884, 19, 6, 30, 73
883, 26, 83, 34, 56
882, 19, 73, 51, 17
881, 69, 32, 99, 29
880, 42, 45, 95, 66
879, 73, 0, 73, 62
878, 58, 83, 3, 55
877, 2, 30, 64, 50
876, 78, 36, 19, 74
875, 98, 0, 32, 17
874, 7, 35, 22, 22
873, 23, 24, 85, 81
872, 37, 90, 20, 32
871, 45, 37, 45, 17
870, 48, 28, 67, 53
869, 44, 66, 58, 90
868, 67, 25, 52, 2
867, 63, 11, 78, 9
866, 57, 83, 98, 89
865, 95, 33, 51, 52
864, 20, 48, 93, 51
863, 5, 16, 70, 91
862, 94, 30, 70, 76
861, 82, 18, 62, 4
860, 94, 56, 47, 42
859, 32, 27, 61, 36
858, 5, 24, 32, 45
857, 78, 95, 88, 0
856, 86, 4, 77, 49
855, 30, 23, 46, 42
854, 70, 76, 68, 13
853, 96, 26, 19, 19
852, 52, 67, 43, 11
851, 40, 8, 95, 63
850, 70, 10, 83, 79
849, 63, 74, 17, 87
848, 60, 62, 5, 83
847, 91, 54, 55, 81
846, 71, 44, 5, 96
845, 58, 29, 30, 8
844, 23, 92, 19, 80
843, 9, 77, 24, 64
842, 23, 95, 93, 96
841, 23, 49, 17, 82
840, 89, 6, 7, 24
839, 73, 47, 97, 7
838, 49, 42, 61, 97
837, 4, 14, 57, 50
836, 54, 94, 68, 55
835, 73, 14, 84, 76
834, 6, 22, 26, 59
833, 83, 17, 42, 92
832, 82, 90, 57, 48
831, 47, 30, 34, 0
830, 94, 83, 85, 11
829, 49, 10, 46, 2
828, 3, 40, 57, 40
827, 52, 98, 35, 73
826, 57, 89, 28, 34
825, 14, 93, 8, 94
824, 52, 51, 56, 5
823, 17, 12, 45, 71
822, 1, 83, 37, 31
821, 85, 8, 1, 54
820, 21, 52, 53, 32
819, 24, 11, 70, 49
818, 28, 64, 28, 82
817, 52, 62, 37, 51
816, 2, 88, 6, 33
815, 30, 33, 22, 62
814, 17, 92, 30, 83
813, 11, 80, 3, 17
812, 25, 9, 82, 51
811, 2, 60, 31, 35
810, 99, 65, 27, 77
809, 79, 12, 56, 52
808, 80, 68, 66, 91
807, 14, 37, 51, 39
806, 6, 84, 37, 13
805, 26, 1, 98, 0
804, 81, 13, 26, 95
803, 26, 37, 32, 54
802, 21, 35, 9, 23
801, 59, 10, 46, 13
800, 72, 43, 65, 75
799, 7, 78, 48, 37
798, 21, 52, 86, 37
797, 62, 13, 23, 3
796, 76, 44, 28, 72
795, 50, 39, 76, 9
794, 2, 10, 89, 44
793, 50, 16, 93, 19
792, 78, 94, 42, 28
791, 63, 3, 91, 11
790, 89, 56, 29, 83
789, 44, 66, 85, 50
788, 6, 85, 16, 19
787, 42, 88, 50, 32
786, 16, 86, 17, 18
785, 98, 56, 21, 65
784, 96, 75, 51, 31
783, 42, 7, 73, 8
782, 54, 71, 71, 79
781, 61, 7, 50, 65
780, 38, 18, 35, 84
779, 49, 4, 70, 80
778, 67, 60, 12, 0
777, 83, 71, 5, 90
776, 65, 88, 1, 91
775, 73, 19, 84, 42
774, 4, 94, 21, 5
773, 94, 42, 72, 14
772, 30, 82, 96, 3
771, 33, 89, 91, 70
770, 55, 44, 3, 22
769, 25, 94, 69, 62
768, 69, 94, 52, 7
767, 49, 78, 98, 79
766, 68, 10, 22, 55
765, 20, 60, 94, 69
764, 84, 89, 90, 26
763, 66, 37, 33, 17
762, 36, 61, 74, 89
761, 37, 79, 90, 10
760, 78, 39, 95, 21
759, 35, 39, 56, 91
758, 97, 56, 15, 0
757, 89, 79, 69, 68
756, 51, 95, 56, 21
755, 53, 53, 63, 92
754, 73, 57, 18, 12
753, 91, 46, 84, 17
752, 4, 39, 82, 4
751, 3, 79, 23, 4
750, 79, 66, 86, 95
749, 70, 42, 23, 96
748, 39, 45, 32, 12
747, 87, 96, 35, 51
746, 26, 26, 21, 49
745, 47, 52, 12, 80
744, 0, 25, 15, 78
743, 16, 85, 40, 76
742, 26, 84, 91, 38
741, 73, 72, 10, 59
740, 64, 91, 10, 29
739, 22, 60, 23, 86
738, 80, 22, 62, 41
737, 78, 22, 84, 33
736, 8, 63, 33, 39
735, 11, 31, 42, 50
734, 86, 2, 74, 32
733, 65, 30, 62, 29
732, 11, 51, 68, 24
731, 60, 48, 46, 30
730, 3, 58, 38, 29
729, 78, 63, 37, 45
728, 39, 77, 20, 30
727, 94, 57, 5, 10
726, 64, 4, 40, 92
725, 61, 61, 10, 37
724, 69, 63, 5, 86
723, 73, 2, 10, 65
722, 15, 40, 69, 92
721, 91, 49, 42, 6
720, 64, 29, 19, 58
719, 76, 90, 17, 13
718, 76, 3, 42, 2
717, 16, 97, 56, 24
716, 91, 67, 53, 88
715, 25, 81, 80, 65
714, 63, 65, 98, 63
713, 41, 10, 78, 32
712, 85, 74, 12, 6
711, 74, 73, 96, 15
710, 55, 79, 95, 18
709, 97, 49, 92, 15
708, 40, 58, 35, 36
707, 48, 60, 83, 17
706, 39, 53, 35, 65
705, 69, 67, 98, 71
704, 89, 60, 78, 97
703, 62, 95, 26, 26
702, 18, 6, 35, 79
701, 44, 38, 62, 56
700, 69, 80, 75, 65
699, 74, 95, 72, 65
698, 50, 72, 3, 64
697, 56, 9, 36, 1
696, 63, 42, 82, 52
695, 61, 56, 60, 46
694, 60, 80, 92, 27
693, 96, 64, 11, 96
692, 39, 74, 55, 58
691, 14, 2, 40, 56
690, 93, 88, 83, 2
689, 37, 14, 75, 84
688, 85, 7, 30, 35
687, 15, 29, 11, 33
686, 48, 44, 17, 96
685, 67, 21, 56, 53
684, 42, 36, 82, 99
683, 57, 73, 67, 38
682, 95, 79, 13, 99
681, 98, 29, 32, 40
680, 66, 4, 44, 97
679, 95, 19, 12, 15
678, 86, 75, 87, 12
677, 4, 78, 39, 57
676, 29, 17, 17, 44
675, 52, 26, 60, 67
674, 90, 65, 47, 21
673, 31, 93, 85, 83
672, 68, 95, 40, 76
671, 26, 20, 31, 0
670, 1, 55, 36, 78
669, 63, 87, 9, 42
668, 63, 51, 4, 50
667, 79, 87, 79, 39
666, 52, 96, 28, 64
665, 8, 84, 1, 57
664, 22, 47, 11, 40
663, 25, 18, 32, 53
662, 27, 13, 94, 93
661, 35, 12, 31, 59
660, 8, 76, 72, 65
659, 60, 30, 7, 15
658, 48, 16, 95, 19
657, 66, 9, 20, 60
656, 76, 3, 15, 58
655, 14, 11, 24, 39
654, 72, 14, 30, 35
653, 4, 59, 88, 66
652, 3, 78, 17, 5
651, 70, 92, 35, 88
650, 42, 87, 43, 35
649, 29, 63, 94, 62
648, 72, 65, 27, 76
647, 63, 48, 29, 36
646, 9, 61, 74, 64
645, 2, 26, 42, 31
644, 65, 59, 91, 29
643, 41, 31, 48, 0
642, 81, 27, 93, 81
641, 51, 64, 83, 66
640, 73, 24, 84, 39
639, 55, 50, 74, 12
638, 29, 31, 19, 90
637, 11, 91, 35, 61
636, 7, 34, 10, 91
635, 0, 62, 85, 15
634, 14, 64, 43, 75
633, 66, 75, 28, 92
632, 57, 22, 50, 19
631, 9, 72, 31, 31
630, 49, 38, 95, 6
629, 32, 77, 28, 92
628, 15, 93, 97, 95
627, 61, 83, 18, 58
626, 26, 87, 36, 99
625, 62, 43, 24, 9
624, 70, 33, 39, 67
623, 56, 70, 76, 73
622, 60, 20, 58, 51
621, 79, 87, 28, 33
620, 97, 32, 74, 87
619, 20, 21, 47, 67
618, 95, 83, 11, 75
617, 96, 76, 52, 57
616, 17, 48, 57, 65
615, 90, 84, 12, 73
614, 54, 21, 40, 72
613, 90, 95, 12, 41
612, 47, 75, 32, 55
611, 80, 37, 58, 20
610, 61, 18, 30, 53
609, 96, 96, 19, 87
608, 83, 81, 35, 31
607, 18, 17, 91, 88
606, 99, 6, 9, 99
605, 8, 62, 63, 5
604, 88, 57, 65, 12
603, 92, 61, 55, 53
602, 38, 12, 47, 43
601, 48, 63, 61, 36
600, 69, 66, 37, 95
599, 48, 60, 56, 92
598, 97, 36, 43, 51
597, 71, 98, 97, 99
596, 8, 27, 50, 12
595, 53, 80, 62, 11
594, 35, 23, 51, 11
593, 74, 82, 74, 65
592, 91, 9, 58, 45
591, 54, 12, 16, 52
590, 75, 99, 39, 44
589, 51, 44, 96, 33
588, 6, 28, 64, 39
587, 23, 78, 76, 99
586, 39, 53, 49, 86
585, 54, 64, 72, 76
584, 98, 27, 41, 53
583, 17, 55, 73, 20
582, 82, 31, 51, 53
581, 80, 71, 28, 57
580, 24, 28, 0, 65
579, 94, 70, 29, 90
578, 70, 75, 28, 20
577, 55, 26, 71, 19
576, 51, 43, 2, 21
575, 19, 86, 52, 19
574, 76, 11, 51, 94
573, 89, 52, 19, 63
572, 44, 1, 47, 9
571, 98, 19, 90, 56
570, 12, 44, 51, 9
569, 18, 59, 24, 50
568, 0, 13, 39, 31
567, 17, 8, 35, 58
566, 74, 24, 40, 36
565, 13, 35, 52, 9
564, 58, 24, 11, 39
563, 45, 54, 16, 80
562, 80, 52, 20, 1
561, 31, 53, 20, 41
560, 40, 91, 78, 29
559, 62, 93, 16, 47
558, 44, 86, 20, 30
557, 80, 89, 24, 61
556, 83, 4, 56, 79
555, 68, 93, 34, 15
554, 10, 27, 80, 27
553, 37, 39, 23, 38
552, 33, 47, 23, 31
551, 86, 75, 21, 86
550, 29, 55, 10, 58
549, 44, 76, 80, 93
548, 94, 90, 18, 41
547, 17, 41, 12, 55
546, 49, 70, 52, 90
545, 46, 89, 64, 92
544, 47, 57, 26, 37
543, 77, 79, 13, 10
542, 49, 53, 22, 17
541, 47, 54, 5, 87
540, 38, 1, 25, 11
539, 88, 46, 36, 70
538, 46, 60, 54, 8
537, 37, 36, 11, 27
536, 33, 68, 44, 64
535, 16, 24, 5, 43
534, 40, 43, 95, 35
533, 73, 93, 76, 42
532, 30, 91, 65, 55
531, 62, 28, 40, 76
530, 38, 9, 97, 26
529, 31, 69, 40, 95
528, 75, 56, 11, 49
527, 43, 73, 77, 69
526, 68, 94, 14, 1
525, 73, 30, 28, 21
524, 13, 1, 99, 37
523, 36, 53, 79, 14
522, 12, 68, 69, 2
521, 22, 22, 6, 39
520, 26, 1, 79, 89
519, 81, 97, 59, 23
518, 96, 38, 66, 93
517, 71, 71, 79, 91
516, 77, 60, 22, 85
515, 38, 68, 31, 25
514, 65, 89, 10, 78
513, 63, 20, 43, 17
512, 90, 77, 42, 4
511, 44, 42, 31, 14
510, 68, 25, 7, 74
509, 55, 11, 97, 94
508, 87, 9, 77, 44
507, 13, 48, 6, 53
506, 1, 92, 94, 93
505, 13, 34, 78, 87
504, 69, 48, 46, 76
503, 54, 19, 83, 56
502, 86, 57, 75, 13
501, 5, 46, 82, 53
500, 87, 39, 51, 24
499, 39, 69, 2, 13
498, 73, 67, 14, 55
497, 7, 13, 88, 1
496, 50, 98, 65, 89
495, 75, 97, 92, 17
494, 96, 40, 23, 22
493, 84, 14, 94, 58
492, 73, 66, 37, 86
491, 82, 72, 54, 94
490, 42, 60, 26, 13
489, 87, 57, 48, 99
488, 42, 0, 54, 95
487, 26, 34, 74, 69
486, 21, 30, 94, 13
485, 13, 18, 77, 56
484, 12, 1, 60, 90
483, 18, 22, 94, 41
482, 59, 85, 59, 27
481, 1, 87, 51, 53
480, 91, 56, 26, 84
479, 39, 44, 88, 9
478, 91, 3, 1, 38
477, 78, 12, 6, 86
476, 23, 38, 55, 66
475, 68, 81, 10, 14
474, 0, 72, 82, 6
473, 93, 45, 9, 14
472, 18, 46, 15, 16
471, 95, 36, 43, 50
470, 56, 79, 97, 14
469, 43, 87, 5, 87
468, 46, 90, 28, 88
467, 6, 95, 98, 4
466, 21, 55, 11, 16
465, 46, 47, 77, 92
464, 3, 82, 51, 65
463, 6, 16, 38, 77
462, 44, 69, 22, 58
461, 42, 1, 59, 64
460, 97, 99, 91, 72
459, 95, 99, 32, 30
458, 46, 74, 77, 19
457, 61, 12, 44, 60
456, 71, 35, 43, 22
455, 14, 85, 94, 28
454, 22, 90, 9, 5
453, 74, 91, 10, 35
452, 83, 46, 67, 61
451, 73, 69, 22, 13
450, 99, 81, 30, 65
449, 51, 74, 69, 70
448, 62, 34, 89, 15
447, 83, 23, 75, 88
446, 9, 79, 80, 22
445, 25, 28, 24, 49
444, 40, 14, 72, 2
443, 66, 39, 39, 5
442, 67, 73, 12, 60
441, 0, 65, 32, 54
440, 5, 39, 6, 1
439, 13, 51, 43, 53
438, 71, 80, 55, 31
437, 62, 11, 4, 70
436, 39, 48, 23, 67
435, 41, 41, 27, 27
434, 1, 2, 40, 58
433, 95, 9, 6, 79
432, 40, 2, 96, 53
431, 8, 80, 96, 59
430, 56, 60, 24, 33
429, 28, 61, 35, 37
428, 86, 46, 21, 44
427, 5, 39, 0, 16
426, 84, 92, 43, 9
425, 12, 41, 61, 53
424, 51, 8, 6, 84
423, 25, 95, 4, 10
422, 57, 42, 73, 86
421, 58, 30, 40, 39
420, 11, 47, 93, 53
419, 73, 13, 43, 91
418, 89, 90, 78, 90
417, 33, 52, 35, 77
416, 33, 4, 51, 43
415, 77, 31, 22, 18
414, 80, 75, 2, 34
413, 41, 59, 36, 35
412, 66, 46, 51, 2
411, 49, 82, 82, 53
410, 44, 84, 3, 1
409, 58, 77, 1, 92
408, 89, 50, 81, 33
407, 1, 1, 28, 36
406, 41, 69, 39, 67
405, 83, 95, 8, 82
404, 52, 84, 12, 98
403, 57, 64, 27, 81
402, 81, 15, 83, 11
401, 44, 56, 43, 67
400, 35, 87, 21, 93
399, 74, 80, 10, 61
398, 47, 46, 61, 4
397, 93, 99, 31, 10
396, 71, 88, 56, 31
395, 29, 90, 81, 64
394, 23, 73, 71, 64
393, 58, 5, 35, 98
392, 35, 2, 25, 60
391, 5, 27, 19, 54
390, 64, 47, 63, 51
389, 7, 5, 43, 48
388, 83, 81, 55, 40
387, 41, 56, 19, 65
386, 40, 66, 86, 21
385, 25, 3, 80, 22
384, 96, 55, 31, 71
383, 34, 58, 12, 68
382, 88, 7, 4, 15
381, 57, 26, 98, 51
380, 72, 26, 10, 90
379, 28, 75, 18, 98
378, 97, 85, 86, 63
377, 22, 18, 20, 9
376, 82, 38, 91, 62
375, 75, 27, 53, 96
374, 94, 10, 56, 1
373, 66, 78, 16, 8
372, 69, 97, 8, 60
371, 14, 91, 37, 55
370, 34, 27, 64, 77
369, 28, 84, 26, 58
368, 69, 54, 33, 95
367, 7, 13, 71, 0
366, 90, 63, 93, 48
365, 90, 69, 70, 4
364, 88, 78, 8, 1
363, 90, 87, 27, 60
362, 29, 50, 0, 54
361, 73, 74, 99, 79
360, 92, 4, 31, 33
359, 5, 92, 19, 71
358, 14, 21, 93, 37
357, 12, 12, 9, 17
356, 69, 1, 99, 96
355, 25, 40, 35, 20
354, 54, 3, 51, 69
353, 88, 69, 90, 66
352, 13, 0, 85, 60
351, 23, 84, 99, 30
350, 53, 49, 12, 23
349, 26, 11, 61, 61
348, 95, 29, 14, 26
347, 63, 69, 88, 66
346, 25, 85, 13, 33
345, 95, 88, 32, 30
344, 55, 29, 1, 54
343, 18, 21, 71, 23
342, 82, 41, 88, 99
341, 31, 97, 97, 83
340, 51, 26, 89, 96
339, 8, 26, 56, 3
338, 83, 85, 53, 83
337, 47, 65, 86, 77
336, 53, 82, 6, 26
335, 17, 77, 33, 20
334, 52, 85, 92, 53
333, 45, 53, 56, 49
332, 43, 73, 69, 86
331, 48, 22, 73, 73
330, 78, 17, 47, 75
329, 21, 13, 7, 60
328, 3, 76, 48, 34
327, 1, 31, 33, 28
326, 4, 47, 77, 42
325, 43, 20, 83, 18
324, 73, 20, 0, 44
323, 45, 78, 23, 97
322, 87, 65, 58, 86
321, 31, 93, 64, 21
320, 27, 71, 43, 68
319, 86, 2, 2, 38
318, 75, 32, 11, 7
317, 70, 70, 68, 39
316, 0, 95, 97, 2
315, 99, 79, 68, 85
314, 90, 42, 49, 36
313, 40, 7, 50, 44
312, 52, 73, 69, 52
311, 32, 1, 38, 42
310, 69, 52, 64, 72
309, 50, 23, 73, 65
308, 34, 21, 74, 60
307, 94, 4, 78, 32
306, 4, 83, 92, 4
305, 0, 15, 38, 45
304, 10, 99, 35, 75
303, 3, 28, 37, 66
302, 15, 93, 27, 47
301, 74, 29, 49, 61
300, 86, 29, 90, 90
299, 0, 11, 12, 74
298, 45, 37, 93, 95
297, 13, 1, 80, 63
296, 11, 82, 10, 16
295, 31, 9, 49, 90
294, 35, 34, 92, 13
293, 52, 44, 86, 6
292, 21, 75, 65, 16
291, 97, 11, 66, 17
290, 98, 92, 57, 30
289, 5, 79, 91, 11
288, 58, 2, 81, 68
287, 26, 45, 65, 83
286, 54, 91, 48, 34
285, 43, 77, 79, 18
284, 67, 10, 57, 48
283, 80, 5, 2, 36
282, 6, 67, 1, 45
281, 9, 51, 98, 71
280, 5, 61, 85, 97
279, 80, 35, 45, 31
278, 23, 24, 60, 78
277, 81, 33, 68, 78
276, 4, 62, 55, 21
275, 87, 13, 51, 57
274, 9, 3, 69, 30
273, 40, 48, 66, 48
272, 99, 18, 64, 54
271, 55, 55, 23, 15
270, 97, 90, 4, 29
269, 65, 66, 25, 47
268, 18, 91, 11, 98
267, 69, 83, 92, 69
266, 8, 61, 85, 68
265, 3, 69, 31, 12
264, 60, 43, 43, 49
263, 80, 13, 99, 41
262, 30, 31, 64, 56
261, 28, 74, 55, 27
260, 48, 34, 47, 90
259, 60, 7, 46, 71
258, 57, 87, 30, 73
257, 37, 59, 74, 30
256, 9, 47, 44, 50
255, 74, 49, 96, 91
254, 46, 56, 23, 37
253, 90, 42, 75, 65
252, 11, 40, 88, 23
251, 64, 73, 77, 20
250, 92, 97, 61, 48
249, 88, 90, 15, 72
248, 17, 60, 98, 1
247, 39, 17, 25, 59
246, 75, 4, 29, 58
245, 12, 97, 1, 99
244, 4, 38, 63, 68
243, 3, 67, 60, 29
242, 31, 2, 30, 37
241, 84, 28, 40, 62
240, 68, 47, 83, 39
239, 30, 34, 88, 67
238, 87, 26, 51, 78
237, 12, 73, 34, 33
236, 74, 37, 26, 81
235, 5, 1, 85, 71
234, 78, 3, 10, 15
233, 19, 84, 93, 0
232, 85, 33, 59, 15
231, 90, 4, 31, 58
230, 69, 14, 39, 17
229, 7, 75, 95, 1
228, 65, 20, 0, 55
227, 37, 50, 91, 17
226, 81, 42, 58, 57
225, 30, 34, 25, 77
224, 67, 28, 2, 49
223, 96, 76, 65, 62
222, 93, 94, 67, 86
221, 90, 35, 75, 87
220, 80, 63, 29, 30
219, 76, 43, 91, 82
218, 95, 95, 17, 81
217, 82, 50, 32, 23
216, 14, 91, 63, 88
215, 93, 1, 57, 26
214, 97, 6, 19, 27
213, 98, 74, 6, 44
212, 5, 37, 20, 47
211, 34, 29, 74, 10
210, 89, 93, 63, 93
209, 22, 91, 86, 44
208, 33, 12, 33, 85
207, 30, 34, 82, 78
206, 94, 23, 0, 75
205, 41, 60, 2, 7
204, 24, 24, 11, 9
203, 52, 89, 66, 80
202, 70, 98, 6, 67
201, 99, 9, 5, 49
200, 48, 99, 30, 3
199, 28, 55, 34, 7
198, 65, 82, 68, 41
197, 33, 65, 49, 93
196, 76, 35, 57, 79
195, 97, 1, 82, 47
194, 98, 60, 41, 5
193, 55, 0, 79, 2
192, 26, 41, 13, 71
191, 24, 94, 86, 40
190, 60, 0, 33, 23
189, 50, 97, 8, 18
188, 98, 75, 53, 58
187, 55, 36, 60, 25
186, 94, 97, 29, 39
185, 45, 14, 35, 55
184, 64, 80, 2, 72
183, 63, 24, 61, 11
182, 15, 62, 40, 15
181, 7, 75, 92, 98
180, 18, 62, 14, 75
179, 92, 57, 55, 69
178, 58, 80, 10, 74
177, 56, 13, 60, 63
176, 47, 40, 18, 39
175, 47, 1, 32, 46
174, 38, 40, 18, 42
173, 57, 45, 61, 17
172, 25, 9, 55, 93
171, 63, 12, 47, 81
170, 55, 45, 20, 95
169, 92, 15, 94, 68
168, 47, 94, 56, 72
167, 51, 7, 83, 90
166, 8, 93, 27, 1
165, 16, 48, 38, 68
164, 65, 12, 9, 74
163, 88, 18, 92, 0
162, 76, 39, 51, 99
161, 73, 45, 7, 70
160, 38, 39, 11, 66
159, 41, 6, 28, 82
158, 0, 60, 2, 59
157, 56, 3, 86, 64
156, 60, 47, 20, 9
155, 71, 48, 67, 41
154, 97, 79, 80, 28
153, 76, 81, 82, 40
152, 89, 80, 59, 29
151, 59, 81, 52, 69
150, 8, 44, 21, 86
149, 96, 57, 83, 77
148, 18, 12, 80, 27
147, 31, 92, 16, 86
146, 64, 64, 97, 88
145, 88, 96, 70, 52
144, 10, 56, 76, 89
143, 78, 62, 7, 66
142, 29, 99, 61, 44
141, 57, 84, 76, 4
140, 55, 26, 44, 42
139, 23, 15, 43, 28
138, 12, 16, 41, 92
137, 27, 32, 68, 81
136, 36, 48, 96, 10
135, 15, 27, 1, 63
134, 47, 44, 22, 4
133, 34, 79, 88, 82
132, 52, 40, 31, 16
131, 80, 55, 21, 50
130, 54, 79, 48, 60
129, 22, 79, 84, 58
128, 96, 9, 46, 33
127, 57, 18, 52, 45
126, 48, 16, 4, 88
125, 11, 94, 48, 72
124, 18, 45, 67, 80
123, 6, 1, 6, 61
122, 84, 23, 43, 38
121, 84, 61, 32, 99
120, 36, 78, 4, 49
119, 40, 40, 14, 12
118, 9, 2, 68, 31
117, 62, 14, 75, 15
116, 54, 17, 39, 6
115, 2, 31, 5, 16
114, 14, 23, 90, 44
113, 61, 6, 4, 31
112, 72, 95, 11, 92
111, 22, 86, 72, 31
110, 53, 43, 27, 1
109, 51, 93, 75, 69
108, 13, 71, 59, 71
107, 30, 79, 89, 61
106, 17, 56, 66, 59
105, 67, 66, 43, 12
104, 56, 34, 23, 80
103, 48, 27, 59, 19
102, 65, 7, 68, 58
101, 57, 28, 34, 52
100, 31, 82, 30, 98
99, 90, 22, 13, 29
98, 45, 51, 61, 2
97, 72, 33, 42, 62
96, 19, 29, 75, 52
95, 40, 40, 59, 49
94, 94, 37, 73, 64
93, 15, 75, 46, 83
92, 87, 57, 17, 0
91, 57, 38, 61, 11
90, 38, 12, 57, 98
89, 81, 43, 5, 38
88, 8, 78, 17, 74
87, 17, 3, 15, 95
86, 16, 19, 38, 38
85, 61, 58, 6, 46
84, 2, 49, 96, 6
83, 8, 45, 29, 10
82, 4, 95, 54, 19
81, 14, 3, 25, 31
80, 26, 5, 11, 70
79, 70, 98, 13, 77
78, 85, 57, 60, 40
77, 52, 12, 10, 48
76, 2, 57, 67, 33
75, 14, 60, 38, 10
74, 65, 49, 70, 23
73, 92, 9, 39, 3
72, 55, 75, 40, 34
71, 55, 12, 38, 20
70, 44, 21, 95, 12
69, 31, 95, 92, 25
68, 44, 90, 66, 57
67, 6, 13, 90, 15
66, 11, 4, 58, 14
65, 27, 64, 17, 5
64, 65, 42, 37, 67
63, 15, 82, 65, 26
62, 94, 49, 28, 70
61, 61, 41, 76, 35
60, 56, 31, 47, 51
59, 3, 2, 3, 76
58, 77, 95, 35, 53
57, 2, 33, 27, 97
56, 58, 30, 77, 11
55, 76, 66, 54, 95
54, 74, 1, 21, 41
53, 43, 78, 41, 25
52, 21, 54, 28, 71
51, 23, 8, 15, 50
50, 95, 92, 68, 37
49, 53, 72, 56, 63
48, 67, 92, 24, 29
47, 14, 23, 93, 13
46, 30, 44, 59, 96
45, 50, 37, 50, 18
44, 74, 13, 38, 26
43, 90, 79, 40, 26
42, 10, 71, 84, 52
41, 62, 8, 95, 74
40, 46, 44, 47, 11
39, 14, 70, 11, 97
38, 15, 93, 94, 41
37, 99, 37, 46, 72
36, 83, 95, 73, 60
35, 42, 19, 94, 35
34, 12, 50, 23, 58
33, 13, 65, 61, 84
32, 31, 76, 33, 50
31, 74, 21, 23, 18
30, 20, 78, 94, 70
29, 25, 4, 64, 34
28, 93, 64, 49, 85
27, 93, 92, 44, 84
26, 19, 47, 89, 39
25, 19, 36, 32, 58
24, 92, 10, 1, 63
23, 50, 96, 74, 1
22, 9, 64, 13, 8
21, 92, 61, 3, 27
20, 39, 49, 20, 64
19, 68, 46, 3, 4
18, 39, 82, 14, 78
17, 19, 57, 83, 17
16, 51, 96, 83, 0
15, 99, 33, 30, 66
14, 35, 96, 61, 86
13, 73, 90, 41, 38
12, 84, 92, 46, 15
11, 87, 34, 80, 72
10, 46, 29, 99, 97
9, 97, 23, 74, 83
8, 66, 17, 65, 65
7, 51, 51, 72, 44
6, 13, 92, 55, 71
5, 79, 81, 44, 73
4, 33, 98, 60, 22
3, 98, 58, 35, 83
2, 34, 23, 3, 15
1, 99, 27, 57, 8
