rollno, age, height, weight
718, 18, 188, 86
717, 20, 173, 98
716, 18, 178, 74
715, 19, 168, 89
714, 20, 156, 59
713, 19, 157, 109
712, 21, 167, 102
711, 21, 164, 51
710, 18, 156, 77
709, 21, 180, 82
708, 20, 158, 104
707, 21, 153, 80
706, 20, 155, 92
705, 21, 188, 73
704, 21, 188, 52
703, 19, 157, 51
702, 21, 169, 92
701, 18, 164, 58
700, 18, 165, 81
699, 20, 176, 83
698, 18, 174, 50
697, 20, 186, 77
696, 21, 168, 82
695, 21, 159, 77
694, 21, 151, 94
693, 18, 157, 108
692, 19, 184, 84
691, 21, 187, 92
690, 19, 187, 102
689, 20, 163, 72
688, 18, 171, 67
687, 19, 185, 96
686, 19, 183, 81
685, 21, 153, 105
684, 20, 176, 66
683, 19, 181, 53
682, 19, 182, 93
681, 21, 160, 104
680, 18, 188, 80
679, 18, 174, 105
678, 20, 169, 104
677, 19, 172, 108
676, 20, 166, 98
675, 19, 157, 88
674, 20, 162, 95
673, 21, 170, 99
672, 20, 167, 54
671, 21, 162, 67
670, 20, 165, 65
669, 19, 179, 82
668, 19, 185, 56
667, 20, 168, 62
666, 18, 188, 61
665, 21, 163, 91
664, 18, 173, 92
663, 21, 163, 93
662, 19, 176, 87
661, 19, 172, 100
660, 20, 172, 95
659, 19, 184, 51
658, 19, 171, 66
657, 18, 171, 88
656, 19, 187, 100
655, 19, 157, 79
654, 20, 177, 93
653, 21, 175, 78
652, 18, 165, 56
651, 18, 155, 78
650, 18, 162, 81
649, 19, 183, 70
648, 18, 167, 94
647, 18, 166, 86
646, 20, 158, 85
645, 21, 176, 93
644, 20, 164, 89
643, 20, 172, 61
642, 20, 156, 81
641, 18, 187, 74
640, 21, 168, 62
639, 21, 166, 101
638, 19, 178, 83
637, 18, 151, 86
636, 20, 150, 51
635, 18, 182, 81
634, 18, 178, 55
633, 21, 150, 101
632, 19, 185, 78
631, 20, 150, 79
630, 20, 179, 71
629, 18, 168, 102
628, 21, 155, 84
627, 19, 172, 63
626, 18, 180, 52
625, 21, 183, 60
624, 18, 184, 97
623, 19, 173, 67
622, 21, 189, 104
621, 21, 178, 69
620, 21, 167, 106
619, 19, 155, 72
618, 20, 171, 71
617, 18, 189, 56
616, 19, 150, 71
615, 21, 172, 54
614, 21, 160, 53
613, 18, 161, 65
612, 20, 173, 88
611, 21, 173, 62
610, 21, 151, 90
609, 18, 171, 108
608, 20, 173, 108
607, 21, 183, 68
606, 19, 186, 65
605, 18, 179, 95
604, 21, 157, 78
603, 18, 155, 77
602, 18, 184, 83
601, 19, 182, 69
600, 18, 160, 70
599, 20, 157, 65
598, 20, 150, 59
597, 18, 153, 85
596, 21, 179, 107
595, 20, 175, 87
594, 20, 151, 50
593, 21, 163, 69
592, 20, 172, 78
591, 20, 189, 88
590, 20, 162, 51
589, 21, 184, 59
588, 18, 184, 58
587, 20, 176, 51
586, 18, 150, 79
585, 21, 175, 95
584, 18, 151, 78
583, 21, 181, 108
582, 21, 167, 59
581, 20, 167, 78
580, 20, 170, 57
579, 18, 171, 65
578, 18, 165, 101
577, 20, 170, 52
576, 21, 154, 87
575, 18, 155, 99
574, 19, 187, 65
573, 20, 179, 79
572, 18, 179, 73
571, 19, 150, 87
570, 21, 150, 106
569, 20, 174, 68
568, 21, 186, 50
567, 21, 155, 72
566, 21, 178, 101
565, 21, 183, 97
564, 18, 156, 56
563, 21, 163, 53
562, 19, 184, 91
561, 18, 171, 93
560, 18, 187, 96
559, 21, 176, 63
558, 21, 168, 69
557, 18, 169, 97
556, 21, 162, 78
555, 21, 150, 90
554, 19, 161, 109
553, 21, 172, 107
552, 19, 176, 80
551, 21, 187, 67
550, 21, 163, 93
549, 18, 172, 59
548, 21, 181, 62
547, 21, 169, 105
546, 21, 166, 71
545, 19, 159, 86
544, 19, 180, 64
543, 18, 164, 64
542, 18, 163, 71
541, 18, 163, 60
540, 21, 152, 50
539, 20, 175, 72
538, 18, 187, 99
537, 21, 183, 82
536, 21, 155, 53
535, 21, 172, 52
534, 21, 178, 90
533, 19, 182, 91
532, 18, 189, 65
531, 21, 159, 94
530, 19, 168, 103
529, 18, 183, 66
528, 21, 175, 60
527, 18, 186, 106
526, 21, 171, 74
525, 20, 179, 78
524, 21, 157, 61
523, 19, 175, 64
522, 20, 169, 99
521, 21, 168, 91
520, 19, 167, 71
519, 21, 156, 107
518, 19, 152, 54
517, 21, 162, 53
516, 18, 166, 74
515, 20, 174, 59
514, 20, 187, 64
513, 20, 155, 84
512, 19, 186, 89
511, 19, 177, 80
510, 21, 162, 84
509, 18, 163, 99
508, 20, 159, 76
507, 21, 169, 72
506, 18, 173, 105
505, 21, 173, 68
504, 21, 170, 90
503, 19, 173, 54
502, 18, 178, 55
501, 21, 174, 77
500, 21, 155, 100
499, 18, 181, 97
498, 20, 162, 52
497, 18, 165, 64
496, 18, 187, 61
495, 21, 176, 62
494, 18, 166, 54
493, 21, 169, 72
492, 18, 187, 79
491, 21, 175, 103
490, 20, 173, 74
489, 20, 183, 105
488, 19, 177, 72
487, 20, 173, 64
486, 21, 157, 54
485, 20, 158, 107
484, 19, 172, 96
483, 19, 163, 107
482, 18, 166, 100
481, 19, 166, 95
480, 20, 179, 55
479, 19, 171, 53
478, 18, 178, 99
477, 18, 188, 89
476, 20, 157, 65
475, 20, 188, 99
474, 19, 187, 83
473, 19, 177, 65
472, 21, 155, 87
471, 21, 178, 61
470, 18, 159, 89
469, 19, 164, 55
468, 20, 159, 71
467, 21, 162, 98
466, 18, 164, 63
465, 19, 186, 82
464, 20, 155, 87
463, 20, 156, 98
462, 18, 156, 67
461, 21, 150, 50
460, 21, 184, 76
459, 19, 174, 65
458, 19, 170, 93
457, 20, 153, 97
456, 20, 171, 72
455, 20, 152, 85
454, 21, 179, 89
453, 18, 188, 98
452, 20, 175, 103
451, 20, 184, 95
450, 20, 161, 102
449, 21, 170, 100
448, 19, 186, 86
447, 19, 182, 88
446, 21, 165, 98
445, 19, 173, 85
444, 21, 169, 61
443, 19, 164, 76
442, 21, 166, 84
441, 21, 171, 98
440, 20, 152, 74
439, 18, 164, 96
438, 21, 167, 56
437, 19, 168, 54
436, 18, 151, 72
435, 18, 154, 84
434, 19, 183, 104
433, 20, 162, 55
432, 20, 184, 80
431, 21, 154, 70
430, 18, 187, 50
429, 18, 170, 104
428, 21, 180, 63
427, 19, 151, 104
426, 19, 186, 95
425, 21, 150, 106
424, 19, 186, 57
423, 19, 185, 76
422, 20, 188, 82
421, 20, 189, 65
420, 19, 176, 61
419, 20, 159, 81
418, 18, 168, 67
417, 19, 159, 80
416, 18, 187, 98
415, 21, 187, 76
414, 19, 150, 88
413, 18, 184, 53
412, 21, 187, 85
411, 19, 181, 94
410, 19, 158, 99
409, 20, 152, 76
408, 19, 156, 60
407, 18, 160, 93
406, 18, 160, 86
405, 18, 178, 91
404, 20, 184, 80
403, 19, 166, 55
402, 19, 161, 75
401, 21, 184, 96
400, 19, 153, 53
399, 18, 174, 105
398, 18, 184, 71
397, 18, 165, 54
396, 20, 173, 62
395, 19, 181, 101
394, 20, 155, 72
393, 19, 157, 74
392, 18, 177, 74
391, 21, 172, 108
390, 20, 158, 108
389, 20, 171, 107
388, 21, 167, 82
387, 21, 182, 93
386, 18, 151, 96
385, 20, 187, 78
384, 19, 156, 65
383, 18, 150, 78
382, 19, 184, 91
381, 20, 170, 83
380, 21, 150, 75
379, 18, 175, 74
378, 19, 186, 80
377, 21, 167, 58
376, 18, 156, 77
375, 21, 171, 108
374, 19, 177, 66
373, 20, 157, 95
372, 20, 186, 53
371, 21, 178, 81
370, 21, 158, 65
369, 19, 184, 60
368, 21, 172, 109
367, 21, 171, 52
366, 19, 166, 97
365, 20, 160, 79
364, 21, 169, 67
363, 21, 152, 97
362, 18, 182, 50
361, 21, 154, 92
360, 20, 162, 74
359, 21, 161, 56
358, 19, 175, 87
357, 18, 165, 78
356, 20, 156, 84
355, 21, 161, 81
354, 18, 168, 84
353, 20, 164, 86
352, 18, 188, 81
351, 21, 188, 58
350, 19, 168, 103
349, 19, 166, 93
348, 20, 159, 108
347, 19, 164, 79
346, 20, 153, 76
345, 19, 174, 93
344, 18, 156, 72
343, 18, 154, 96
342, 18, 173, 52
341, 21, 173, 54
340, 20, 168, 68
339, 21, 175, 106
338, 20, 179, 73
337, 21, 181, 103
336, 20, 180, 100
335, 20, 151, 91
334, 20, 166, 99
333, 19, 181, 73
332, 21, 168, 86
331, 19, 164, 58
330, 19, 172, 67
329, 18, 151, 72
328, 20, 179, 71
327, 18, 161, 73
326, 19, 179, 103
325, 18, 170, 66
324, 19, 183, 106
323, 19, 177, 70
322, 21, 186, 92
321, 18, 161, 52
320, 19, 165, 90
319, 21, 179, 67
318, 20, 188, 100
317, 20, 188, 63
316, 18, 166, 101
315, 21, 150, 103
314, 20, 153, 109
313, 21, 188, 101
312, 19, 170, 56
311, 18, 179, 81
310, 19, 173, 101
309, 21, 157, 87
308, 18, 174, 51
307, 19, 160, 66
306, 18, 188, 103
305, 19, 163, 99
304, 19, 178, 98
303, 20, 183, 77
302, 20, 173, 92
301, 20, 189, 107
300, 18, 152, 60
299, 20, 174, 92
298, 20, 154, 101
297, 18, 181, 76
296, 18, 174, 95
295, 19, 159, 89
294, 20, 171, 98
293, 20, 183, 56
292, 21, 183, 98
291, 19, 176, 62
290, 19, 158, 67
289, 18, 160, 56
288, 19, 163, 86
287, 21, 171, 99
286, 21, 184, 78
285, 18, 161, 77
284, 21, 179, 81
283, 18, 188, 54
282, 20, 185, 65
281, 20, 153, 104
280, 20, 161, 82
279, 19, 167, 95
278, 18, 157, 96
277, 20, 179, 104
276, 21, 179, 82
275, 19, 166, 57
274, 21, 157, 70
273, 21, 187, 85
272, 18, 159, 52
271, 21, 172, 98
270, 20, 164, 90
269, 20, 189, 78
268, 19, 150, 83
267, 18, 172, 67
266, 19, 155, 69
265, 19, 184, 64
264, 20, 163, 88
263, 18, 183, 98
262, 21, 171, 68
261, 21, 166, 91
260, 21, 161, 75
259, 21, 153, 93
258, 19, 166, 83
257, 19, 176, 55
256, 20, 183, 57
255, 19, 185, 102
254, 18, 168, 109
253, 21, 159, 60
252, 19, 175, 79
251, 19, 185, 89
250, 18, 172, 90
249, 21, 188, 106
248, 19, 166, 79
247, 19, 187, 90
246, 19, 173, 77
245, 19, 171, 87
244, 19, 159, 90
243, 18, 179, 67
242, 20, 179, 56
241, 19, 177, 58
240, 21, 173, 54
239, 20, 185, 63
238, 20, 179, 103
237, 20, 183, 66
236, 20, 159, 74
235, 18, 155, 50
234, 18, 173, 58
233, 21, 160, 95
232, 20, 156, 80
231, 18, 161, 98
230, 18, 181, 60
229, 19, 158, 99
228, 18, 167, 62
227, 21, 182, 62
226, 18, 181, 61
225, 19, 162, 76
224, 19, 181, 54
223, 18, 165, 66
222, 21, 151, 59
221, 18, 168, 76
220, 21, 179, 57
219, 20, 155, 89
218, 19, 157, 59
217, 18, 151, 71
216, 21, 163, 89
215, 19, 172, 61
214, 18, 185, 78
213, 19, 157, 59
212, 21, 181, 75
211, 19, 156, 76
210, 18, 166, 63
209, 19, 188, 82
208, 20, 178, 55
207, 18, 152, 83
206, 20, 186, 99
205, 21, 172, 67
204, 18, 189, 63
203, 21, 182, 100
202, 19, 168, 80
201, 20, 151, 103
200, 20, 179, 75
199, 20, 177, 64
198, 20, 170, 89
197, 20, 161, 100
196, 19, 182, 95
195, 21, 182, 61
194, 21, 153, 80
193, 19, 170, 91
192, 19, 187, 108
191, 18, 186, 93
190, 19, 169, 109
189, 21, 185, 58
188, 18, 186, 86
187, 21, 155, 66
186, 18, 152, 62
185, 19, 171, 80
184, 21, 167, 105
183, 21, 180, 92
182, 19, 153, 74
181, 19, 173, 107
180, 21, 161, 76
179, 21, 150, 84
178, 21, 178, 109
177, 21, 153, 95
176, 19, 160, 101
175, 21, 173, 97
174, 21, 171, 96
173, 21, 188, 78
172, 18, 164, 92
171, 18, 169, 102
170, 20, 182, 91
169, 18, 185, 106
168, 18, 152, 53
167, 19, 183, 70
166, 21, 182, 88
165, 19, 171, 67
164, 21, 188, 94
163, 21, 184, 90
162, 21, 180, 105
161, 20, 188, 89
160, 19, 175, 100
159, 19, 183, 64
158, 18, 161, 90
157, 19, 172, 69
156, 21, 178, 56
155, 21, 183, 103
154, 18, 174, 68
153, 18, 183, 78
152, 21, 165, 106
151, 19, 187, 59
150, 18, 186, 79
149, 20, 184, 62
148, 18, 171, 94
147, 20, 150, 105
146, 21, 163, 79
145, 18, 173, 78
144, 21, 160, 77
143, 19, 170, 70
142, 20, 177, 90
141, 19, 170, 108
140, 20, 174, 91
139, 19, 186, 100
138, 18, 159, 59
137, 21, 176, 104
136, 19, 159, 76
135, 19, 159, 69
134, 20, 177, 75
133, 19, 169, 100
132, 21, 152, 69
131, 21, 154, 106
130, 18, 169, 69
129, 21, 158, 107
128, 21, 173, 70
127, 19, 178, 51
126, 21, 177, 88
125, 20, 152, 86
124, 21, 153, 93
123, 19, 180, 83
122, 20, 173, 96
121, 19, 175, 101
120, 21, 160, 85
119, 19, 186, 59
118, 21, 189, 82
117, 18, 153, 56
116, 19, 172, 75
115, 21, 150, 55
114, 18, 168, 93
113, 21, 177, 88
112, 20, 164, 89
111, 20, 154, 51
110, 20, 163, 64
109, 19, 187, 103
108, 18, 164, 80
107, 19, 170, 92
106, 19, 158, 65
105, 20, 160, 104
104, 21, 174, 64
103, 18, 169, 107
102, 20, 188, 87
101, 21, 165, 81
100, 18, 170, 70
99, 21, 153, 87
98, 19, 186, 78
97, 18, 177, 93
96, 20, 178, 69
95, 19, 150, 77
94, 19, 187, 60
93, 19, 177, 89
92, 21, 176, 72
91, 20, 189, 97
90, 19, 173, 53
89, 21, 166, 94
88, 18, 183, 76
87, 21, 174, 83
86, 18, 182, 71
85, 20, 175, 91
84, 20, 161, 70
83, 19, 166, 93
82, 21, 173, 96
81, 21, 154, 66
80, 21, 156, 87
79, 21, 168, 88
78, 19, 182, 56
77, 18, 150, 79
76, 21, 150, 68
75, 19, 158, 76
74, 21, 187, 82
73, 19, 167, 86
72, 21, 168, 84
71, 19, 177, 69
70, 18, 188, 58
69, 20, 170, 53
68, 18, 187, 52
67, 21, 181, 107
66, 18, 182, 55
65, 21, 151, 91
64, 18, 166, 88
63, 21, 152, 100
62, 20, 185, 83
61, 19, 169, 100
60, 20, 175, 67
59, 21, 159, 92
58, 20, 163, 51
57, 20, 150, 103
56, 21, 173, 85
55, 19, 181, 70
54, 20, 166, 69
53, 21, 186, 71
52, 18, 181, 94
51, 20, 170, 51
50, 18, 173, 88
49, 21, 158, 73
48, 19, 158, 87
47, 18, 175, 73
46, 18, 153, 77
45, 20, 171, 103
44, 18, 176, 61
43, 19, 186, 57
42, 21, 173, 109
41, 19, 181, 84
40, 21, 165, 76
39, 18, 184, 58
38, 21, 151, 100
37, 20, 166, 95
36, 20, 184, 82
35, 20, 160, 108
34, 20, 162, 92
33, 19, 158, 65
32, 18, 175, 72
31, 18, 186, 64
30, 18, 155, 52
29, 19, 156, 73
28, 19, 183, 107
27, 20, 163, 98
26, 18, 164, 90
25, 19, 165, 77
24, 18, 185, 90
23, 21, 163, 86
22, 19, 178, 91
21, 20, 182, 54
20, 21, 157, 105
19, 19, 164, 105
18, 18, 158, 65
17, 21, 158, 105
16, 20, 171, 96
15, 18, 165, 64
14, 20, 154, 91
13, 19, 185, 71
12, 18, 187, 84
11, 19, 186, 76
10, 19, 158, 101
9, 19, 170, 103
8, 18, 178, 71
7, 21, 187, 63
6, 20, 161, 70
5, 21, 183, 96
4, 19, 177, 55
3, 19, 177, 55
2, 19, 177, 99
1, 18, 173, 81
